Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,313022.08,335962.11,4329500.00,2533,0,1596,0,1129,0,806,0,64,0.6077687690176292,9048
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,6639370.25,1431263.83,17489750.00,22607,0,18413,0,12337,0,6395,0,490,0.683984801774175,73080
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,5483072.63,3918307.92,44060250.00,58778,0,13035,0,104625,0,14391,0,1000,0.8190950513115645,177624
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,971661.83,2056359.56,290642200.00,28858,4278,0,11670,29451,1154,15308,438,604,0.8938166288398894,172332
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,2796167.23,2523474.55,284025600.00,30344,0,9750,0,28510,0,14922,0,595,0.8844028328232723,159192
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,1138177.17,1634317.70,298852900.00,26426,4440,0,10663,26684,1301,14256,448,571,0.8649792146379149,158700
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,1213564.56,1507151.62,308176000.00,25909,4103,0,12516,26500,1162,13692,416,562,0.8754272202734849,155292
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,1269315.50,1293240.00,300856500.00,24470,3396,0,8983,25891,1247,13796,301,553,0.8853614873341109,144600
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,772737.80,538065.00,324084200.00,12440,15540,0,10004,5723,20793,12651,433,528,0.8749718347037068,148584
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,18536713.08,0.00,0,15004,0,5575,0,13085,0,6839,149,0.8563379595460422,79212
